with time,,,,,,,,delta t,,Most recent,,,,,,,,,delta x,delta y,delta z
-0.003939888171096,0.683440511574231,-0.086276329665598,0.67780254030436,-0.003300800015277,-0.044729816001171,0.733874692734882,66,0.058146715164185,,-0.00397296131105,0.683415134076476,-0.086374500639615,0.67785462250235,0.00266689938824,-0.038220855077877,0.734196952211711,66,,-3.30731399535988E-05,-2.53774977547749E-05,-9.81709740172226E-05
-0.003797015151871,0.683652212985816,-0.085446997542032,0.677089574058461,0.019023128834119,-0.020149663595371,0.735378691782462,67,0.044166088104248,,-0.003796051121966,0.68362350929615,-0.085556126233174,0.677404291058175,0.006674734607869,-0.033727920025804,0.734806982672742,67,,9.64029905570207E-07,-2.87036896662318E-05,-0.000109128691142
-0.003895079818788,0.683901859886771,-0.085067869385509,0.668401209487945,0.101563577222901,0.073066737164785,0.733202506035564,68,-0.002071380615234,,-0.003871203066831,0.68393960920274,-0.085106079266622,0.669736441566712,0.090857360526999,0.061754270577896,0.734427973964103,68,,2.3876751957419E-05,3.77493159688935E-05,-3.8209881113152E-05
-0.003738018587611,0.684039043586781,-0.085233277768848,0.673947898911195,0.044905244980759,0.012194015602923,0.737312046904077,69,0.042825222015381,,-0.003738018587611,0.684039043586781,-0.085233277768848,0.673947898911195,0.044905244980759,0.012194015602923,0.737312046904077,69,,0,0,0
-0.003402727029804,0.684210557226958,-0.085269116420629,0.674770715298365,-0.017151660588073,-0.055391457530705,0.735745940354025,70,-0.011626482009888,,-0.003498435172128,0.684157924030936,-0.085306866453784,0.675067019112633,-0.007709459354575,-0.044993325845348,0.736342776546507,70,,-9.5708142323403E-05,-5.26331960227777E-05,-3.77500331547598E-05
-0.003458502849192,0.684360965962634,-0.0846543092618,0.669539807850201,0.079841725985009,0.049459849507798,0.736814405248918,71,0.031564950942993,,-0.003458502849192,0.684360965962634,-0.0846543092618,0.669539807850201,0.079841725985009,0.049459849507798,0.736814405248918,71,,0,0,0
-0.003558164151752,0.684459979906284,-0.084480060719285,0.667192653146333,0.090935254955326,0.060944896716123,0.736797436584865,72,0.092747688293457,,-0.003560840102889,0.684456129729377,-0.084471721041881,0.666893159738869,0.093304235351912,0.063568859793269,0.736550631812564,72,,-2.67595113701046E-06,-3.85017690762712E-06,8.33967740436481E-06
-0.003322788231314,0.684580566415644,-0.085009155863507,0.672828599220624,-0.001654880015417,-0.040701807658961,0.738676045568177,73,0.028741121292114,,-0.003322788231314,0.684580566415644,-0.085009155863507,0.672828599220624,-0.001654880015417,-0.040701807658961,0.738676045568177,73,,0,0,0
-0.003312514587211,0.684661487778333,-0.085699663378221,0.67187041961615,0.027946348748307,-0.007137299756785,0.740106884030029,74,0.091778516769409,,-0.003285914472038,0.684659418319573,-0.085662705146767,0.672264398108795,0.017718395320726,-0.018452654019519,0.739868999933308,74,,2.66001151723589E-05,-2.06945876013442E-06,3.69582314544009E-05
-0.003621316013209,0.68466320896911,-0.085853865757814,0.663323821653485,0.106267040043326,0.079318098594292,0.736489961277703,75,-0.004431009292603,,-0.003621316013209,0.68466320896911,-0.085853865757814,0.663323821653485,0.106267040043326,0.079318098594292,0.736489961277703,75,,0,0,0
-0.003703514318864,0.684690161727544,-0.086027467911977,0.669897668347589,0.036129191801071,-0.000481908672567,0.741573707197266,76,-0.002243995666504,,-0.003719984228911,0.684686077302926,-0.086006555700199,0.669264404327577,0.047051725910678,0.011807828992875,0.741439051684867,76,,-1.64699100471681E-05,-4.0844246184113E-06,2.09122117773158E-05
-0.003601482095873,0.684702294579071,-0.086270150280452,0.670592578410682,-0.007973175378419,-0.050667608597268,0.740050549418033,77,0.011571168899536,,-0.003604332743151,0.68470160692783,-0.086273671423481,0.67060136220582,-0.006916189622717,-0.049505922879852,0.740131841585413,77,,-2.85064727761908E-06,-6.87651240727227E-07,-3.52114302935858E-06
-0.004152230956399,0.684581429883981,-0.086779370606766,0.660233205466841,0.112647090921691,0.084095136790504,0.737787744052479,78,0.05209231376648,,-0.00404507680639,0.684607355604327,-0.086634699930225,0.661759095984096,0.104954266357048,0.075263495903141,0.738508569374928,78,,0.000107154150009,2.59257203457652E-05,0.000144670676541
-0.004217181174207,0.684516365634692,-0.087440286311381,0.66859517506251,0.023931289261099,-0.014759672277423,0.743094837387326,79,0.011044502258301,,-0.004168916185566,0.684501350067345,-0.087564898289682,0.668936305615024,-0.003798319323927,-0.045770948794834,0.741899462223054,79,,4.82649886402453E-05,-1.50155673472874E-05,-0.000124611978302
-0.004287863228358,0.684384078799036,-0.087607069287797,0.668540089045683,0.017904636257311,-0.022917565431612,0.743107232190599,80,-0.008462190628052,,-0.004287863228358,0.684384078799036,-0.087607069287797,0.668540089045683,0.017904636257311,-0.022917565431612,0.743107232190599,80,,0,0,0
-0.004924919609473,0.684116701649944,-0.087443998387107,0.65921336274272,0.106638026708602,0.075199175500615,0.740547876673182,81,0.031216144561768,,-0.004924919609473,0.684116701649944,-0.087443998387107,0.65921336274272,0.106638026708602,0.075199175500615,0.740547876673182,81,,0,0,0
-0.004895310121576,0.683876244797121,-0.088181844242226,0.666870161845474,-0.019544750492075,-0.065305692301659,0.742049429971747,82,-0.011159658432007,,-0.004889845808801,0.683888746096867,-0.088163762211288,0.666845537382864,-0.020625289487458,-0.06654842645739,0.741931892859556,82,,5.46431277459545E-06,1.25012997462814E-05,1.80820309379076E-05
