now,msg,pose,,Now – msg,Now – pose,delta now,delta msg,,Msg – pose,,msg_future – pose
1675847131.07926,1675847131.06405,1675847131.0926,,0.01520848274231,-0.013343095779419,,,,-0.028551578521729,,0.212871551513672
1675847131.32514,1675847131.30548,1675847131.29277,,0.01966142654419,0.032368183135986,0.24587607383728,0.2414231300354,,0.012706756591797,,0.341149806976318
1675847131.64905,1675847131.63392,1675847131.69345,,0.015130519866943,-0.044399976730347,0.323912143707275,0.328443050384521,,-0.05953049659729,,0.070093631744385
1675847131.76619,1675847131.76354,1675847131.79353,,0.002649784088135,-0.027335166931152,0.117143392562866,0.129624128341675,,-0.029984951019287,,0.130485534667969
1675847131.92719,1675847131.92401,1675847131.9937,,0.003175258636475,-0.066511392593384,0.160995960235596,0.160470485687256,,-0.069686651229858,,0.283880472183228
1675847132.28118,1675847132.27758,1675847132.294,,0.003600597381592,-0.012821674346924,0.353992462158203,0.353567123413086,,-0.016422271728516,,0.176357984542847
1675847132.47256,1675847132.47036,1675847132.4942,,0.002197504043579,-0.021645069122315,0.19137716293335,0.192780256271362,,-0.023842573165894,,0.185324668884277
1675847132.68861,1675847132.67953,1675847132.69436,,0.009084939956665,-0.005750417709351,0.216054677963257,0.209167242050171,,-0.014835357666016,,0.194338083267212
1675847132.89588,1675847132.8887,1675847132.89454,,0.007180452346802,0.001341581344605,0.207268953323364,0.209173440933228,,-0.005838871002197,,0.23470664024353
1675847133.14094,1675847133.12925,1675847133.19483,,0.011691570281983,-0.053896188735962,0.245056629180908,0.240545511245728,,-0.065587759017944,,0.163431406021118
1675847133.36239,1675847133.35827,1675847133.39499,,0.004126071929932,-0.032593488693237,0.221453666687012,0.229019165039062,,-0.036719560623169,,0.236373424530029
1675847133.64423,1675847133.63136,1675847133.59514,,0.012875318527222,0.049098968505859,0.281842231750488,0.273092985153198,,0.036223649978638,,0.309432029724121
1675847133.90593,1675847133.90457,1675847133.9955,,0.00136137008667,-0.089570045471191,0.261694431304932,0.273208379745483,,-0.090931415557861,,0.201323747634888
1675847134.20915,1675847134.19682,1675847134.29572,,0.012328386306763,-0.086568117141724,0.303222179412842,0.292255163192749,,-0.098896503448486,,0.190491437911987
1675847134.49402,1675847134.48621,1675847134.49587,,0.0078125,-0.001847982406616,0.284872055053711,0.289387941360474,,-0.009660482406616,,0.311736822128296
1675847134.8175,1675847134.80761,1675847134.79613,,0.009887933731079,0.021362781524658,0.323472738265991,0.321397304534912,,0.011474847793579,,0.333080053329468
1675847135.13976,1675847135.12921,1675847135.19642,,0.010545492172241,-0.056662797927857,0.322262763977051,0.321605205535889,,-0.067208290100098,,0.255698204040527
1675847135.45192,1675847135.45212,1675847135.49665,,-0.000199317932129,-0.044732093811035,0.312161684036255,0.322906494140625,,-0.044532775878906,,0.309388637542725
1675847135.82643,1675847135.80604,1675847135.89697,,0.020389795303345,-0.070537805557251,0.374510526657104,0.353921413421631,,-0.090927600860596,,0.280725955963135
1675847136.17877,1675847136.17769,1675847136.19719,,0.001080274581909,-0.018416881561279,0.352344036102295,0.37165355682373,,-0.019497156143189,,0.384547472000122
1675847136.59173,1675847136.58174,1675847136.59755,,0.009995222091675,-0.00581431388855,0.412959575653076,0.404044628143311,,-0.015809535980225,,0.417949914932251
1675847137.01442,1675847137.0155,1675847136.9979,,-0.001077175140381,0.016517639160156,0.42268705368042,0.433759450912476,,0.017594814300537,,0.500858306884766
1675847137.55663,1675847137.49876,1675847137.59837,,0.057864427566528,-0.041739940643311,0.542205095291138,0.483263492584229,,-0.099604368209839,,0.417206764221191
1675847138.02048,1675847138.01557,1675847137.99867,,0.004910945892334,0.02181339263916,0.463857650756836,0.51681113243103,,0.016902446746826,,0.581039905548096
1675847138.59256,1675847138.57971,1675847138.59916,,0.012849807739258,-0.006596326828003,0.572076320648193,0.56413745880127,,-0.019446134567261,,0.575031995773315
1675847139.17744,1675847139.17419,1675847139.19961,,0.003255844116211,-0.022161722183228,0.584884166717529,0.594478130340576,,-0.025417566299439,,0.632778406143189
1675847139.83333,1675847139.83238,1675847139.90011,,0.000942945480347,-0.066783905029297,0.655883073806763,0.658195972442627,,-0.067726850509644,,0.672113180160522
1675847140.57872,1675847140.57222,1675847140.60062,,0.006494760513306,-0.021904468536377,0.745391845703125,0.739840030670166,,-0.028399229049683,,0.839613676071167
1675847141.4492,1675847141.44024,1675847141.50128,,0.008966207504272,-0.052078485488892,0.870484352111816,0.86801290512085,,-0.061044692993164,,0.904077768325806
1675847142.41835,1675847142.40536,1675847142.4021,,0.012991189956665,0.016249179840088,0.969147443771362,0.96512246131897,,0.003257989883423,,1.09655451774597
1675847143.50633,1675847143.49866,1675847143.50294,,0.007671594619751,0.003391981124878,1.08797693252563,1.09329652786255,,-0.004279613494873,,1.25058722496033
1675847144.75518,1675847144.75352,1675847144.80402,,0.001654863357544,-0.048841238021851,1.24885010719299,1.2548668384552,,-0.050496101379395,,1.36450695991516
1675847146.18073,1675847146.16853,1675847146.20529,,0.012203931808472,-0.024563074111939,1.42555212974548,1.41500306129456,,-0.03676700592041,,1.60410284996033
1675847147.80586,1675847147.8094,1675847147.80674,,-0.003540754318237,-0.000885248184204,1.62512516975403,1.64086985588074,,0.002655506134033,,1.8394467830658
1675847149.64898,1675847149.64619,1675847149.70847,,0.0027916431427,-0.059486627578735,1.8431236743927,1.83679127693176,,-0.062278270721436,,1.98575305938721
1675847151.69639,1675847151.69422,1675847151.71016,,0.002166509628296,-0.013775825500488,2.04740619659424,2.04803133010864,,-0.015942335128784,,2.28311657905579
1675847153.99899,1675847153.99328,1675847154.01191,,0.00571608543396,-0.012913227081299,2.30260848999023,2.29905891418457,,-0.018629312515259,,2.60147356987
1675847156.62541,1675847156.61338,1675847156.61442,,0.012034177780151,0.010996103286743,2.62642097473145,2.62010288238525,,-0.001038074493408,,3.00716948509216
1675847159.62604,1675847159.62159,1675847159.71762,,0.004450082778931,-0.091582298278809,3.00062346458435,3.00820755958557,,-0.096032381057739,,3.33385491371155
1675847163.0531,1675847163.05148,1675847163.12061,,0.00162410736084,-0.067506551742554,3.4270613193512,3.42988729476929,,-0.069130659103394,,3.87497878074646
1675847167.00049,1675847166.99558,1675847167.02456,,0.00490665435791,-0.024067878723145,3.94739198684692,3.94410943984985,,-0.028974533081055,,4.57303500175476
1675847171.59989,1675847171.59759,1675847171.62843,,0.002296447753906,-0.028541326522827,4.59939932823181,4.60200953483582,,-0.030837774276733,,
,,,,,,,,,,,
,,,,,,,,,0.036223649978638,,
